Time,Open,High,Low,Close
2026-07-23 02:00:00,4133.66,4134.45,4124.48,4132.13
2026-07-23 03:00:00,4131.91,4140.86,4113.74,4117.69
2026-07-23 04:00:00,4117.95,4128.36,4111.27,4128.22
2026-07-23 05:00:00,4128.34,4132.7,4123.02,4124.78
2026-07-23 06:00:00,4124.71,4129.65,4120.06,4121.0
2026-07-23 07:00:00,4120.91,4130.72,4119.26,4123.28
2026-07-23 08:00:00,4123.3,4128.35,4116.35,4118.62
2026-07-23 09:00:00,4118.87,4118.92,4089.57,4095.56
2026-07-23 10:00:00,4096.29,4097.77,4086.19,4092.63
2026-07-23 11:00:00,4092.48,4099.14,4087.75,4090.01
2026-07-23 12:00:00,4089.81,4094.59,4086.12,4092.42
2026-07-23 13:00:00,4092.64,4093.38,4072.51,4085.15
2026-07-23 14:00:00,4085.21,4085.82,4061.05,4061.89
2026-07-23 15:00:00,4061.99,4067.44,4039.82,4042.42
2026-07-23 16:00:00,4042.9,4061.8,4039.32,4057.73
2026-07-23 17:00:00,4058.29,4059.36,4041.55,4048.77
2026-07-23 18:00:00,4049.39,4051.91,4045.6,4051.46
2026-07-23 19:00:00,4051.65,4054.79,4041.03,4041.93
2026-07-23 20:00:00,4041.94,4048.49,4039.93,4046.07
2026-07-23 21:00:00,4046.18,4051.4,4042.31,4049.81
2026-07-23 22:00:00,4049.96,4051.14,4046.78,4049.29
2026-07-24 00:00:00,4049.05,4050.36,4047.82,4049.6
2026-07-24 01:00:00,4049.55,4050.89,4046.36,4046.85
2026-07-24 02:00:00,4047.08,4051.06,4040.82,4049.89
2026-07-24 03:00:00,4049.99,4050.32,4039.25,4043.75
2026-07-24 04:00:00,4043.78,4048.62,4022.45,4023.86
2026-07-24 05:00:00,4024.24,4033.54,4022.44,4029.36
2026-07-24 06:00:00,4029.27,4030.46,4025.4,4027.15
2026-07-24 07:00:00,4027.28,4032.34,4021.21,4022.67
2026-07-24 08:00:00,4022.72,4038.91,4022.72,4035.3
2026-07-24 09:00:00,4035.4,4053.69,4034.34,4048.48
2026-07-24 10:00:00,4048.37,4058.78,4044.64,4057.65
2026-07-24 11:00:00,4057.78,4060.87,4051.04,4059.96
2026-07-24 12:00:00,4060.0,4063.97,4056.65,4059.91
2026-07-24 13:00:00,4060.04,4062.94,4051.14,4057.3
2026-07-24 14:00:00,4058.09,4060.15,4051.13,4055.36
2026-07-24 15:00:00,4055.66,4068.72,4043.95,4067.38
2026-07-24 16:00:00,4067.28,4070.08,4055.66,4063.25
2026-07-24 17:00:00,4063.36,4082.09,4061.49,4076.79
2026-07-24 18:00:00,4076.76,4078.31,4063.58,4067.13
2026-07-24 19:00:00,4067.38,4070.04,4062.42,4062.68
2026-07-24 20:00:00,4062.8,4064.61,4050.3,4054.48
2026-07-24 21:00:00,4054.63,4057.96,4048.57,4053.64
2026-07-24 22:00:00,4053.15,4056.02,4048.68,4051.17
2026-07-27 00:00:00,4092.43,4093.8,4082.99,4089.38
2026-07-27 01:00:00,4089.74,4096.35,4082.96,4093.91
2026-07-27 02:00:00,4094.31,4116.24,4089.86,4100.34
2026-07-27 03:00:00,4101.01,4112.7,4096.14,4110.17
2026-07-27 04:00:00,4110.59,4111.07,4093.41,4093.46
2026-07-27 05:00:00,4093.02,4096.04,4084.67,4090.86
2026-07-27 06:00:00,4091.23,4093.07,4086.77,4090.14
2026-07-27 07:00:00,4090.15,4094.76,4084.04,4092.75
